龚	垄,詟,龛,陇,巽
哺	唵,辅,膊,烳,甫,捕,圃,雎,敷,脯,埔,铺,浦,嗤,晡,匍,搏,匐,咽,吨,喃,蒲,睢,唾
埔	辅,匍,甫,捕,哺,铺,蒲,圃
甫	辅,匍,膊,搏,捕,哺,敷,脯,埔,铺,蒲,圃
辅	鋪,匍,膊,甫,搏,捕,哺,敷,脯,埔,铺,蒲,圃,蜅
圃	闍,闑,甫,圕,囥,雎,囨,圑,圓,埔,國,闅,囿,闃,匍,圌,闓,圚,圇,圁,圍,圎,囹,闏,睢,圗,辅,園,闇,團,捕,闦,囼,闡,囷,脯,闒,铺,囻,圐,圊,圖,圉,圜,哺,匐,闤,囫,蒲,圏
匍	辅,甫,捕,哺,雎,匐,脯,睢,埔,铺,蒲,圃
蒲	辅,匍,膊,甫,搏,捕,哺,庯,敷,脯,埔,铺,圃
铭	酩,名,眳,茗
名	酩,铭,茗
茗	酩,名,铭
酩	醏,名,铭,酡,茗,酭
铛	挡,铠,档,当,锆
档	铛,挡,桰,桘,当
挡	铛,当,档
当	铛,挡,档
钮	妞,忸,杻,羞,丑,纽,扭
羞	钮,扭,丑
扭	羞,丑,钮,沑,纽
丑	羞,钮,纽,扭
金	键,钱,链,针,奎,铜
链	莲,连,键,钱,针,金,铜
钱	笺,金,铜,残,践,浅,栈,键,溅,饯,贱,链,针,线
铜	粡,綗,链,针,絧,恫,秱,钱,硐,烔,金,挏,键,狪,桐
针	计,叶,钍,钱,十,汁,金,铜,什,键,链
里	童,粤,狸,埋,著,暑,玺,理
童	憧,竃,菫,幢,撞,葟,寁,里,堇,藌,雚,曺,萐,狸,埋,簋,著,萭,菖,暑,葍,理
埋	梩,哩,悝,捚,里,狸,著,童,锂,暑,理
理	童,里,狸,埋,著,暑
狸	捚,里,貍,娌,埋,獀,著,童,暑,理
暑	曇,躇,煮,绪,堵,猪,里,睹,狸,埋,储,著,赌,署,都,童,诸,者,理
著	堵,盲,里,睹,狸,埋,赌,童,舂,暑,理
采	睬,踩,来,釆,彩,菜,耒,冞
彩	睬,踩,菜,采
睬	啋,踩,彩,菜,睐,采
踩	睬,彩,菜,采
菜	睬,某,踩,彩,采
醇	敦,谆,淳,酶,醕
淳	湻,涥,滜,敦,谆,溴,醇
谆	谟,惇,連,稕,埻,敦,焞,淳,椁,醇
敦	醇,谆,淳
酉	筃,醉,苜,酿,酬,西,配,卣,酒,茴,酥
酒	酉,醉,西,配,酿,涸,酬,晒,洒,洄,酥
酥	酉,醉,酬,配,酿,酒
酬	酉,醉,配,酿,酥,酒
醉	率,酉,萃,配,酿,卒,酒,悴,翠,粹,酬,酔,醅,瘁,酥,碎
配	酉,醉,酬,酿,酥,酒
酿	粮,酉,醉,浪,艮,良,配,娘,垦,酒,恨,酬,狠,狼,酥,恳,酭
部	赔,倍,剖,陪,郃,邰,培,都
剖	赔,倍,部,培,割,陪,剆,剂,剒,刟
陪	赔,倍,部,剖,蓓,培,殕
培	赔,倍,部,剖,秸,焙,陪,稖,掊,棓,锫,楛,琣,蓓,悋
倍	赔,部,剖,陪,俈,蓓,培
赔	踣,倍,部,剖,陪,賠,蓓,培
郎	粮,郎,踉,邭,朗,郞
朗	粮,郎,踉
郊	狡,绞,皎,饺,蛟,跤,交,效,咬,胶,校
蛟	跤,峧,郊,绞
跤	狡,郊,绞,皎,饺,蛟,炊,交,效,咬,胶,校,吹
绞	狡,郊,皎,饺,蛟,跤,炊,交,效,咬,胶,校,吹
邦	帮,郆,绑,梆
帮	邦,绑,梆
绑	帮,邦,梆
那	挪,娜,哪
哪	唧,挪,那,娜
挪	那,娜,哪
娜	挪,那,哪
邗	顸,邛,顼,邘,祁
邛	邘,邗,顼,顸
顼	项,顸,邛,顶,烦,邗,頊
顸	预,邛,顼,颈,邗
遭	嘈,槽,蹋,糟,遀,踏,曹
糟	嘈,槽,蹋,曹,褿,踏,遭
踏	糟,蹋,遭
蹋	糟,鳎,踏,遭
遥	摇,遙,瑶,谣
摇	榣,愮,揺,拙,遥,瑶,徭,谣
瑶	摇,愮,榣,磘,暚,遥,谣,嗂,熎
谣	摇,遥,瑶
遗	匮,遣,贵,馈,遺,溃
遣	澅,逪,遦,匮,遱,遗,馈
遐	瑕,霞,暇,假
瑕	煆,遐,徦,椵,霞,暇,假
暇	遐,瑕,霞,假
假	遐,瑕,霞,暇
逢	烽,篷,峰,缝,丰,逢,遛,蓬,锋,通,蜂
蓬	烽,篷,峰,缝,丰,逢,锋,蘀,蜂
篷	峰,逢,蓬,锋,缝,蜂
逝	浙
浙	逝,拆,斤,折,晰,析,哲,淅,近
通	道,甬,逎,逪,邁,逼,佣,痛,捅,诵,用,逢,拥,遛,遒,桶,涌,俑
桶	梢,甬,涌,柙,佣,痛,捅,诵,用,樢,拥,橫,楕,通,俑
痛	痡,甬,涌,佣,瘖,疼,捅,诵,用,病,拥,痌,瘄,桶,通,俑
连	链,莲
莲	链,连
过	守,付,对,寸,财,村,辽,疗,才,讨,材,时,衬
辽	迂,迀,疗,迋,过
疗	瘦,疼,辽,疔,疘,病,痒,过,疜
辰	晨,振,震,居,辱,唇
唇	辰,晨,振,震,居,辱
晨	辰,振,曩,震,曟,辱,唇
震	霓,壽,晝,辱,籭,辰,晨,振,藼,夀,薫,賷,畵,籗,露,畫,唇
振	据,辰,晨,震,辱,唇
辱	辰,晨,振,震,唇
辨	辩,辣,辫,辟,避,宰,瓣,辛,辞
辫	辨,辩,辣,辟,避,宰,瓣,辛,辞
辩	辨,辣,辫,辟,避,宰,瓣,辛,辞
瓣	辨,辩,辣,辫,辟,避,宰,辛,辞
辟	瓣,譬,辨,辩,辣,辫,臂,僻,避,壁,璧,宰,辛,辞,劈
避	辣,臂,宰,瓣,辛,辞,譬,辨,辩,辫,辟,劈,壁,璧,僻
璧	譬,礕,瑿,辟,臂,劈,壁,避,聖,僻
譬	譼,臂,避,譻,警,辟,劈,壁,璧,僻
僻	譬,辟,臂,壁,避,璧,劈
臂	壁,譬,避,辟,僻,璧,劈
壁	譬,辟,臂,劈,避,璧,僻
劈	壁,譬,避,辟,臂,璧,僻
辛	辨,辩,辣,辫,辟,避,宰,瓣,辞
辞	辨,辩,辣,辫,辟,避,宰,瓣,辛
宰	辨,辩,辣,辫,峷,辟,避,瓣,辛,辞
辣	辨,辩,辫,辟,避,宰,瓣,辛,辞
输	偷,瑜,愈,榆,喻,载,暖,栽,愉,俞,諭
暖	援,载,栽,喛,输,缓,暧
载	栽,暖,输
栽	输,裁,载,暖,烖,蛓
辉	车,晖,浑,挥,军,晕,耀
挥	择,车,诨,晖,浑,军,晕,辉
浑	车,晖,军,挥,晕,辉,莲
轮	抡,沦,伦,仑,纶,论
论	抡,沦,轮,伦,仑,纶
伦	抡,沦,轮,仑,纶,论
沦	抡,轮,伦,仑,纶,论
车	辉,晖,浑,挥,军
军	车,晖,浑,挥,晕,辉
晖	车,浑,挥,军,晕,辉
身	射,躲
射	身,躲
躲	躱,射,身
躁	譟,藻,臊,鐰,操,燥,噪,澡
臊	臅,操,燥,嬠,躁,藻,繰,矂,噪,譟,缲,澡
澡	藻,臊,操,燥,噪,躁
操	橾,藻,臊,燥,噪,澡,躁
噪	藻,臊,操,燥,澡,躁
燥	橾,操,嬠,躁,藻,臊,繰,噪,懆,缲,澡
藻	臊,操,燥,噪,澡,躁
蹈	韬,舀,滔,稻
稻	韬,慆,搯,舀,熖,蹈,滔,稱,槄,稲,瑫,稸,秳
滔	蹈,稻,淄,韬
蹇	賽,弿,驀,骞,蹙,蹵,褰,謩,籉,搴
搴	蹇,褰,骞
褰	蹇,骞,搴
骞	蹇,褰,搴,薥
踝	錁,婐,跟,裸,輠,蜾,餜,粿,綶,窠,稞
稞	踝,裸,果,惈,窠,颗,课,堁,猓,棵
窠	裸,踝,葉,稞,葈
裸	课,棵,窠,踝,稞,祼,颗
践	笺,钱,残,浅,栈,溅,饯,贱,线
贱	笺,钱,残,践,浅,溅,饯,线,栈
线	笺,钱,残,践,浅,溅,饯,贱,栈
笺	残,践,浅,钱,贱,线
残	浅,笺,践,溅,钱,贱,线
浅	笺,钱,残,践,栈,溅,饯,贱,线
跨	污,夸,跨,胯,挎,垮
垮	污,夸,跨,胯,挎,傍,塝
挎	污,夸,跨,胯,搒,垮,塝
胯	污,夸,腾,舿,跨,挎,膡,垮
距	炬,拒,柜,昛,巨,矩,跙
巨	炬,叵,拒,苩,且,柜,百,臣,旦,矩,距
拒	担,抯,捛,栖,炬,徂,枢,椏,挋,袒,柜,怛,巨,枑,怇,矩,佢,怚,柙,距
炬	担,抯,烥,坦,钽,烺,拒,柜,怛,珇,巨,矩,坥,怇,怚,距,焒
超	趋,徒,陡,趣,趟,趏,起,越,走
起	趋,徒,陡,趣,趟,超,越,走
走	趋,徒,陡,趣,趟,起,超,越,宔
趣	趋,徒,陡,趟,起,超,越,走
趋	徒,趚,陡,趣,趟,趏,起,超,越,走,趨
越	趀,趋,徒,陡,趣,趟,起,超,走
趟	淌,趋,徒,倘,陡,尚,趣,趰,起,超,越,走,躺,趱
赧	赦
赦	赧
赞	潜,替,攒
替	潜,赞
潜	潸,赞,替,濳
攒	赞
赛	塞,寒
塞	寋,寒,赛
寒	塞,赛
赏	掌,尝,瞠,棠,常,膛,党,撑,偿,裳,堂
堂	掌,営,瞠,棠,赏,常,党,撑,裳,膛
党	掌,瞠,棠,赏,常,膛,撑,裳,堂
裳	掌,尝,瞠,棠,赏,常,党,撑,偿,堂,膛
掌	電,牚,拳,棠,赏,常,攀,党,撑,裳,堂
撑	掌,鐣,拳,棠,赏,常,攀,党,攉,裳,堂
棠	掌,瞠,常,赏,膛,党,撑,裳,堂
常	掌,棠,赏,営,當,党,撑,裳,堂
资	次,羡,咨,姿
姿	次,秶,羡,咨,资
咨	次,羡,盗,资,姿
羡	资,羨,咨,姿
贵	遗,溃
贴	砖,战,黏,粘,玷,站,帖,占,沾
帖	砖,战,黏,粘,玷,蛅,站,跕,岾,帾,占,帕,跍,贴,沾
粘	战,黏,玷,站,帖,占,贴,沾
站	战,黏,泣,沾,姑,粘,立,粒,蛅,笠,帖,拉,占,垃,贴,玷
贲	愤,喷
喷	愤,贲
愤	偾,贲,喷,锁,销,奋
贯	贯,掼,惯
惯	憒,掼,愦,贯
掼	揋,椳,贯,惯
购	狗,够,构
构	购,勾,抅,狗,钩,够,沟
狗	枸,拘,狥,构,购,够,佝
够	多,购,移,狗,侈,哆,构
货	账,贷,袋,见,贫,贪,财,贺,代,贝,赊,责,负
贷	代,货,袋,貸
袋	代,货,贷
代	货,伐,贷,袋
贝	货,账,见,贫,财,贪,贺,赊,责,负
责	货,账,箦,见,贫,财,贪,贺,贝,赊,负
负	页,货,账,见,贫,财,贪,贺,贝,赊,责
贫	货,账,见,财,贪,贺,贝,赊,责,负
贪	账,见,贫,妗,玲,邻,责,负,冷,念,货,吟,拎,铃,翎,领,财,贺,今,贝,赊,怜,令,伶
财	守,账,见,付,贴,贫,对,寸,村,责,负,財,材,过,时,货,贪,贺,贝,赊,才,讨,衬
账	货,见,贫,贪,财,贺,贝,赊,责,负
赊	货,账,见,贫,贪,财,贺,贝,责,负,赇
贺	货,账,见,贫,贪,财,贝,赊,责,负
见	砚,货,账,视,现,观,贫,贪,财,贺,觉,贝,赊,责,负,觅
貌	藐,貘
藐	貌
豪	毫,亴
毫	毯,毡,亳,毛,豪
象	像,橡
像	潒,橡,象
橡	像,象
豕	豖,琢,逐,啄
逐	豕,琢,啄
琢	豕,逐,椓,啄,烼
啄	豕,逐,琢,豚,椓
谷	裕,豁,浴,俗
俗	豁,裕,浴,欲,谷
裕	豁,浴,欲,俗,谷
豁	裕,浴,俗,谷
浴	豁,裕,欲,俗,谷
谮	潛,僭
僭	谮,憯
谬	戳,戮,缪,僇
缪	戳,戮,繆,缪,谬
戮	戳,缪,谬
戳	戮,缪,谬
谨	幻,漌,馑,堇,幼,瑾,墐,傼,僅,槿,慬,勤
勤	幻,動,堇,幼,谨
幻	幼,勤,谨
幼	幻,窈,勤,拗,谨,坳
谡	稷,禝,溭
稷	禝,谡
谓	猬,倩,渭,请
猬	緭,媦,谓,煟,喟,稩,猜
谋	谍,某,煤,媒
媒	媅,某,煤,谋
煤	煠,楳,某,谋,媒
某	琹,棊,桀,枽,媒,煤,谋
调	淍,绸,碉,雕,惆,周,稠,倜,婤,凋
雕	维,难,碉,催,雅,稚,凋,離,谁,崔,雝,璀,绸,惆,推,雏,调,周,稠,摧,唯
凋	绸,碉,雕,惆,周,稠,调
碉	裯,绸,雕,惆,周,稠,婤,凋,晭,调
谁	倠,维,难,璀,雕,推,催,雏,淮,雅,摧,稚,崔,唯
唯	维,难,璀,吡,崔,惟,雕,推,催,雏,陮,雅,摧,稚,谁
维	焳,难,璀,准,崔,惟,雕,推,催,雏,堆,雅,摧,稚,锥,谁,唯
推	倠,维,难,璀,准,崔,堆,雕,惟,催,雏,雅,摧,稚,谁,唯
崔	维,难,璀,雕,推,催,雏,雅,摧,稚,谁,唯
摧	墔,维,难,璀,慛,熣,獕,崔,雕,推,催,雏,雅,槯,稚,谁,唯
催	墔,维,难,璀,慛,熣,崔,雕,推,雏,雅,摧,稚,凗,谁,唯
璀	墔,维,难,慛,熣,獕,膗,崔,雕,推,催,雏,磪,雅,摧,槯,稚,谁,唯
雏	隿,雄,维,难,璀,崔,雕,推,催,雂,雎,雅,摧,稚,谁,唯
诺	若,偌
若	苦,苷,诺
请	傦,晴,睛,精,清,谓,情,逼
诟	逅,垢
逅	诟
诞	蜒,霆,蜓,艇,婉,挺,廷,碗,庭
蜒	蜓,婉,碗,诞,鋋
碗	蜒,腕,晼,婉,蜿,宛,诞,惋
